CASRN,Set,Mol Formula,Chem Name,logKow_exp,logKow_pred,Residual,Reference
1501-05-9,N,C11H12O3,"Butanoic acid, 4-benzoyl-",1.49,1.91,0.42,Sangster (1994)
1502-22-3,N,C12H18O1,"Cyclohexanone, 2-(1-cyclohexen-1-yl)-",3.17,3.73,0.56,Chem Inspect Test Inst (1992)
1504-26-3,N,C14H12N2O3,"Benzeneacetamide, N-(2-nitrophenyl)-",2.73,2.78,0.05,"Yamagami,C et al. (1984)"
1510-24-3, ,C13H9N1S1,4-Biphenylisothiocyanate,4.66,5.09,0.43,"Hansch,C et al. (1995)"
1513-31-1, ,C7H6CL1F2N1O2S1,"Difluoromethanesulfonanilide,p-CL",2.84,3.12,0.28,"Hansch,C et al. (1995)"
1513-65-1,N,C5H3F2N1,"2,6-Difluoropyridine",1.17,1.21,0.04,"Hansch,C et al. (1995)"
1515-85-1,N,C9H9N1O1,"Benzonitrile, 4-(methoxymethyl)-",1.23,1.32,0.09,Sangster (1993)
1517-63-1, ,C14H14O1,Phneyl-p-tolylcarbinol,3.13,3.26,0.13,"Hansch,C et al. (1995)"
1517-69-7,T,C8H10O1,1-Phenylethanol,1.42,1.49,0.07,"Hansch,C et al. (1995)"
1523-06-4, ,C8H7N1O4,m-Nitrophenyl acetate,1.82,1.41,-0.41,"Hansch,C et al. (1995)"
1532-72-5,N,C9H7N1O1,"Isoquinoline, 2-oxide",0.25,0.4,0.15,Pomona (1987)
1532-84-9,T,C9H8N2,1-Isoquinolinamine,1.9,1.87,-0.03,"Hansch,C et al. (1995)"
1535-61-1,T,C7H6F1N3O4S2,Fluorothiazide,-0.29,-0.67,-0.38,Sangster (1994)
1538-74-5,N,C11H15N1O2,n-Butyl-N-phenylcarbamate,3.3,3.22,-0.08,"Briggs,GG (1981)"
1542-59-2, ,C11H14F1N5,"4,6-NH2-2,2-diMe-1(4FPh)s-triazine",0.37,0.52,0.15,"Hansch,C et al. (1995)"
1547-10-0,T,C8H7CL1F3N3O4S2,3-CF3 hydrochlorothiazide,0.49,0.21,-0.28,Sangster (1994)
1551-06-0,N,C6H9N1,2-Ethylpyrrole,1.59,1.92,0.33,"Hansch,C et al. (1995)"
1552-94-9, ,C11H10O2,"2,4-Pentadienoic acid, 5-phenyl-",3.15,2.84,-0.31,"Hansch,C et al. (1995)"
1553-60-2,N,C12H16O2,"Benzeneacetic acid, 4-(2-methylpropyl)-",3.35,3.38,0.03,Sangster (1994)
1555-94-8,N,C11H11N1O1,8-Ethoxyquinoline,2.25,2.71,0.46,"Hansch,C et al. (1995)"
1558-17-4, ,C6H8N2,"4,6-Dimethylpyrimidine",0.62,1.03,0.41,"Hansch,C et al. (1995)"
1563-38-8, ,C10H12O2,Carbofuran phenol,2.08,2.9,0.82,"Hansch,C et al. (1995)"
1563-66-2, ,C12H15N1O3,Carbofuran,2.32,2.3,-0.02,"Hansch,C et al. (1995)"
1565-17-9, ,C8H9N1O3S1,p-Acetylbenzenesulfonamide,0.2,0.15,-0.05,"Hansch,C et al. (1995)"
1567-89-1,N,C9H10N4O4,"2-Propanone,(2,4-dinitrophenyl)hydrazone",3.05,2.78,-0.27,"Parkin,JE (1986)"
1568-70-3,N,C7H7N1O4,"Phenol, 4-methoxy-2-nitro-",2.02,1.99,-0.03,"Schwarzenbach,RP et al. (1988)"
1570-45-2, ,C8H9N1O2,"Isonicotinic acid, ethyl ester",1.43,1.13,-0.3,"Hansch,C et al. (1995)"
1570-64-5, ,C7H7CL1O1,2-Methyl-4-chlorophenol,2.63,2.7,0.07,"Hansch,C et al. (1995)"
1571-33-1,T,C6H7O3P1,Phenylphosphonic acid,0.54,0.52,-0.02,"Hansch,C et al. (1995)"
1571-92-2,N,C14H11N3O2,2-(2-Me-Ph)-5-nitrobenzimidazole,3.42,3.36,-0.06,"Ertepinar,H et al. (1995)"
1574-10-3,N,C8H9N3O1,"Hydrazinecarboxamide,2-Ph methylene-",1.27,1.04,-0.23,Pomona (1987)
1574-41-0,N,C5H8,"1,3-Pentadiene, (Z)-",2.4,2.45,0.05,Sangster (1994)
1576-17-6,T,C9H12N2O2,3-Phenyl-1-methyl-1-methoxyurea,1.29,1.62,0.33,"Hansch,C et al. (1995)"
1576-42-7,N,C7H8N2O3S1,"Benzamide, 3-(aminosulfonyl)-",-0.84,-0.88,-0.04,"Carotti,A et al. (1989)"
1576-43-8, ,C6H7N1O3S1,p-Hydroxybenzenesulfonamide,0.06,-0.11,-0.17,"Hansch,C et al. (1995)"
1582-09-8, ,C13H16F3N3O4,Trifluralin,5.34,5.31,-0.03,"Hansch,C et al. (1995)"
1582-75-8,N,C22H29F1O4,"Pregn-4-ene-21-carboxylic acid,deriv",2.4,1.92,-0.48,Sangster (1993)
1585-79-1,T,C8H9N1O4,"N-Maleoylglycine, ethyl ester",0.49,0.62,0.13,"Hansch,C et al. (1995)"
1592-38-7,N,C11H10O1,2-Naphthalenemethanol,2.21,2.25,0.04,"Hansch,C et al. (1995)"
1592-82-1, ,C11H16N1O5S1P1,3-Isopropyl dimethyl parathion,4.05,4.2,0.15,"Hansch,C et al. (1995)"
1596-52-7, ,C9H5N3O5,"4,6-Dinitroquinoline-1-oxide",0.9,0.64,-0.26,"Hansch,C et al. (1995)"
1596-84-5,N,C6H12N2O3,Daminozide,-1.5,-1.51,-0.01,"Tomlin,C (1997)"
1603-41-4,T,C6H8N2,2-Amino-5-methylpyridine,1.02,1.08,0.06,"Hansch,C et al. (1995)"
1606-67-3,N,C16H11N1,1-Pyrenamine,4.31,4.02,-0.29,"Debnath,AK et al. (1992)"
1608-68-0, ,C11H14O2,2-Isopropylphenyl acetate,2.78,3.05,0.27,"Hansch,C et al. (1995)"
1609-07-0,T,C3H6N4,1-Methyl-2-cyanoguanidine,-0.77,-0.79,-0.02,"Hansch,C et al. (1995)"
1610-17-9, ,C9H17N5O1,Atratone,2.69,3.15,0.46,"Finizio,A et al. (1991)"
1610-18-0, ,C10H19N5O1,Prometon,2.99,3.57,0.58,"Finizio,A et al. (1991)"
1611-38-7,N,C10H9F1O1,"3-Buten-2-one,4-(4-fluorophenyl)-",2.22,2.24,0.02,"Yamagami,C et al. (1998)"
1611-63-8,N,C14H20N2O1,"Urea, N-(1-methylcyclohexyl)-N'-phenyl-",3.6,3.9,0.3,"Mitsutake,KI et al. (1986)"
1612-15-3,N,C12H15N3O2,"Benzotriazol-2-propanoic acid,b-Me,Et es",2.7,2.65,-0.05,"Sparatore,F et al. (1988)"
1613-37-2,T,C9H7N1O1,Quinoline-1-oxide,0.36,0.4,0.04,"Hansch,C et al. (1995)"
1615-06-1,T,C6H6N2O2S1,"1,3-Dihydro-benzothiadiazol,22-O2",1.12,0.97,-0.15,"Hansch,C et al. (1995)"
1617-93-2,N,C10H11N3O1,"1,3,4-Oxadiazol-2-amine,5(2-PhEt)-",1.19,1.38,0.19,Sangster (1993)
1620-75-3,T,C7H6N2,2-Cyano-6-methylpyridine,0.84,0.9,0.06,"Hansch,C et al. (1995)"
1622-57-7,N,C8H9N3,1-Methyl-2-aminobenzimidazole,0.95,1.42,0.47,"Hansch,C et al. (1995)"
1622-61-3, ,C15H10CL1N3O3,Clonazepam,2.41,2.53,0.12,"Hansch,C et al. (1995)"
1622-62-4,N,C16H12F1N3O3,Flunitrazepam,2.06,1.91,-0.15,"Hansch,C et al. (1995)"
1623-19-4,N,C9H15O4P1,"Phosphoric acid, tri-2-propenyl ester",1.76,1.94,0.18,Chem Inspect Test Inst (1992)
1627-73-2,T,C8H9N3S1,Benzaldehyde thiosemicarbazone,1.86,1.98,0.12,"Hansch,C et al. (1995)"
1628-89-3,T,C6H7N1O1,2-Methoxypyridine,1.34,1.34,0.0,"Yamagami,C et al. (1990a)"
1632-76-4,N,C5H6N2,"Pyridazine, 3-methyl-",-0.35,0.49,0.84,"Yamagami,C et al. (1990)"
1633-44-9,N,C7H3N3,"3,4-Pyridinedicarbonitrile",0.24,-0.1,-0.34,"Hansch,C et al. (1995)"
1634-04-4,T,C5H12O1,Methyl t-butyl ether,0.94,1.43,0.49,"Hansch,C et al. (1995)"
1636-33-5,T,C11H7N1S1,2-Isothiocyanonaphthalene,4.34,4.51,0.17,"Hansch,C et al. (1995)"
1638-22-8,N,C10H14O1,"Phenol, 4-butyl-",3.65,3.53,-0.12,Sangster (1993)
1639-32-3, ,C11H15N1O1,"2,3,4-Trimethylacetanilide",1.76,2.18,0.42,"Nakagawa,Y et al. (1992)"
1642-81-5,N,C8H7CL1O2,"Benzoic acid, 4-(chloromethyl)-",2.12,2.68,0.54,BioByte (1995)
1643-15-8, ,C9H10O3,m-Methylphenoxyacetic,1.78,1.88,0.1,"Hansch,C et al. (1995)"
1643-16-9, ,C11H14O3,p-i-Propylphenoxyacetic acid,2.69,2.78,0.09,"Hansch,C et al. (1995)"
1646-27-1,N,C10H8O3,"2-Benzofurancarboxylic acid,Me ester",2.53,2.13,-0.4,"Yamagami,C et al. (1992)"
1646-88-4, ,C7H14N2O4S1,Aldicarb sulfone,-0.57,-0.67,-0.1,"Hansch,C & Leo,A (1985)"
1649-18-9, ,C19H22F1N3O1,Azaperone,3.3,3.23,-0.07,"Hansch,C et al. (1995)"
1668-19-5,N,C19H21N1O1,DOXEPIN,4.29,3.99,-0.3,Sangster (1994)
1670-14-0,T,C7H9CL1N2,Benzamidine,0.65,0.75,0.1,"Hansch,C et al. (1995)"
1670-84-4,N,C9H8N2O1,1H-Indole-2-carboxamide,1.61,1.44,-0.17,Sangster (1994)
1670-86-6,N,C9H8N2O1,Indole-4-carboxamide,0.66,0.8,0.14,"Hansch,C et al. (1995)"
1670-87-7,N,C9H8N2O1,Indole-5-carboxamide,0.87,0.8,-0.07,"Hansch,C et al. (1995)"
1671-82-5,N,C4H5N3O2,"1H-Imidazole, 1-methyl-2-nitro-",-0.17,0.42,0.59,"Suwinski,J et al. (1985)"
1672-46-4, ,C23H34O5,Digoxigenin,1.1,1.6,0.5,"Hansch,C et al. (1995)"
1673-47-8, ,C7H7CL1N2O1,"Benzoylhydrazine, m-chloro",1.18,1.02,-0.16,"Hansch,C et al. (1995)"
1675-02-1,T,C36H65N1O13,"Erythromycin, 3""-O-demethyl-",1.26,1.78,0.52,Pomona (1987)
1677-27-6,N,C7H4O1S2,"1,2-Benzodithiol-3-one",2.73,2.19,-0.54,"Bona,M et al. (1995)"
1678-25-7, ,C12H11N1O2S1,Benzenesulfanilide,2.58,2.63,0.05,"Hansch,C et al. (1995)"
1678-91-7,N,C8H16,Ethyl cyclohexane,4.56,4.08,-0.46,"Ritter,S et al (1995)"
1680-21-3,N,C12H18O6,"2Propenoic acid,12Etdiylbis(oxy21Etdiyl)",0.96,0.57,-0.39,Sangster (1993)
1680-44-0,N,C8H7N3,"1H-1,2,3-Triazole, 4-phenyl-",1.91,1.75,-0.16,Sangster (1993)
1689-09-4, ,C10H10O2,"1(3H)Isobenzofuranone-3,3-dimethyl",1.73,1.59,-0.14,"Hansch,C et al. (1995)"
1689-83-4,N,C7H3I2N1O1,"4-Cyano-2,6-diiodophenol",3.43,3.94,0.51,"Comer,J et al. (1995)"
1689-99-2, ,C15H17Br2N1O2,Bromoxynil octanoate,6.1,5.86,-0.24,"Krawchuk,BP & Webster,GRB (1987)"
1693-94-3, ,C9H8N2O1,"4H-Pyrido(12a)pyrimidin-4-one,2Me",0.57,0.65,0.08,"Hansch,C et al. (1995)"
1695-04-1,T,C13H12O2,o-Phenoxyanisole,2.92,3.29,0.37,"Hansch,C et al. (1995)"
1696-17-9,T,C11H15N1O1,"N,N-Diethylbenzamide",1.25,1.71,0.46,"Hansch,C et al. (1995)"
1698-60-8,N,C10H8CL1N3O1,"3-Pyridazinone,5-NH2-4-CL-2-Ph-",1.14,0.76,-0.38,"Braumann,T & Grimme,LH (1981)"
1698-62-0,N,C11H10CL1N3O1,"3-Pyridazinone,4-CL-5-(MeAm)-2-Ph-",1.19,1.22,0.03,Sangster (1994)
1701-69-5, ,C8H9N1O1,Ethyl-4-pyridyl ketone,0.77,0.98,0.21,"Hansch,C et al. (1995)"
1702-17-6,N,C6H3CL2N1O2,Clopyralid,1.06,1.63,0.57,"Comer,J et al. (1995)"
1708-29-8, ,C4H6O1,"2,5-Dihydrofuran",0.46,0.72,0.26,"Hansch,C et al. (1995)"
1709-52-0, ,C7H10N2O2S1,N1-Methylsulfanilamide,-0.01,-0.08,-0.07,"Hansch,C et al. (1995)"
1709-59-7, ,C8H12N2O2S1,N1-Dimethylsulfanilamide,0.67,0.13,-0.54,"Hansch,C et al. (1995)"
1722-10-7, ,C5H5CL1N2O1,3-Chloro-6-methoxypyridazine,0.89,1.12,0.23,"Hansch,C et al. (1995)"
1722-12-9,N,C4H3CL1N2,"Pyrimidine, 2-chloro-",0.36,0.58,0.22,"Yamagami,C et al. (1990)"
1722-18-5,T,C9H7N3,2-Phenyl-s-triazine,1.93,1.56,-0.37,"Hansch,C et al. (1995)"
1726-94-9, ,C20H15N1S1,Triphenylmethylisothiocyanate,7.02,6.31,-0.71,"Hansch,C et al. (1995)"
1730-37-6, ,C14H12,1-Methylfluorene,4.97,4.56,-0.41,"Miller,MM et al. (1985)"
1731-84-6,N,C10H20O2,"Nonanoic acid, methyl ester",4.32,3.81,-0.51,"Tewari,YB et al. (1982)"
1732-08-7,N,C9H16O4,"Heptanedioic acid, dimethyl ester",1.38,1.88,0.5,"Hansch,C et al. (1995)"
1737-06-0, ,C9H8F3N1O2,4-OCF3 acetanilide,2.62,2.15,-0.47,"Nakagawa,Y et al. (1992)"
1740-57-4, ,C8H8N2O2,Iso-phthalamide,-0.21,-0.52,-0.31,"Hansch,C et al. (1995)"
1746-01-6, ,C12H4CL4O2,"2,3,7,8-Tetrachlorodibenzo-p-dioxin",6.8,6.92,0.12,"Shiu,WY et al. (1988)"
1746-13-0,T,C9H10O1,Allylphenyl ether,2.94,2.92,-0.02,"Hansch,C et al. (1995)"
1746-25-4, ,C3H1I3N2,"2,4,5-Triiodoimidazole",2.78,3.56,0.78,"Hansch,C et al. (1995)"
1746-81-2,T,C9H11CL1N2O2,Monolinuron,2.3,2.26,-0.04,"Hansch,C et al. (1995)"
1747-53-1,N,C7H8N2O4,"4-Pyrimidin-COOH,1236H-26dioxo,Et ester",0.68,0.24,-0.44,Sangster (1994)
1752-26-7,T,C17H20N2O5S1,"Penicillin, a-phenoxyethyl",2.28,1.87,-0.41,"Hansch,C et al. (1995)"
1752-96-1, ,C12H10N2O1,Nicotinanilide,1.73,1.51,-0.22,"Hansch,C et al. (1995)"
1758-88-9,N,C10H14,"Benzene, 2-ethyl-1,4-dimethyl-",4.43,4.13,-0.3,"Sherblom,PM & Eganhouse,RP (1988)"
1759-02-0, ,C11H12CL1N1O2,RH-1911 O-Ph(4-CL) N-butylene carbamate,3.38,3.1,-0.28,"Nandihalli,UB et al. (1993)"
1759-53-1,N,C4H6O2,Cyclopropanecarboxylic acid,0.63,0.88,0.25,"Hansch,C et al. (1995)"
1762-26-1,N,C5H14Pb1,Trimethylethyl lead,3.88,3.41,-0.47,"Wang,Y et al. (1996)"
1762-27-2,N,C6H16Pb1,Dimethyldiethyl lead,4.04,3.9,-0.14,"Wang,Y et al. (1996)"
1766-91-2,N,C13H18F3N3O4S2,124-Benzothiadiazin-7-sulfonamide deriv,2.66,2.57,-0.09,Sangster (1993)
1771-65-9,N,C11H12O3,"Benzenebutanoic acid, _-methyl-#-oxo-",1.62,1.84,0.22,"Kuchar,M et al. (1985)"
1782-00-9, ,C6H6CL4,Tetrachlorocyclohexene,3.08,3.68,0.6,"Hansch,C et al. (1995)"
1783-81-9, ,C7H9N1S1,m-Methioaniline,1.45,1.68,0.23,"Hansch,C et al. (1995)"
1792-40-1,N,C8H7N3O2,"1H-Benzimidazole, 2-methyl-5-nitro-",1.94,1.6,-0.34,"Debnath,AK et al. (1991)"
1792-81-0,T,C6H12O2,"1,2-Cyclohexanediol-cis",0.23,0.51,0.28,"Hansch,C et al. (1995)"
1798-03-4, ,C10H12O3,o-Ethyl phenoxyacetic acid,2.53,2.37,-0.16,"Hansch,C et al. (1995)"
1798-06-7,T,C8H7I1O2,p-Iodophenylacetic acid,2.64,2.6,-0.04,"Hansch,C et al. (1995)"
1798-09-0,T,C9H10O3,m-Methoxyphenylacetic acid,1.5,1.51,0.01,"Hansch,C et al. (1995)"
1798-11-4, ,C8H7N1O5,p-Nitrophenoxyacetic acid,1.48,1.15,-0.33,"Hansch,C et al. (1995)"
1798-99-8, ,C8H7Br1O3,m-Bromophenoxyacetic acid,2.22,2.22,0.0,"Hansch,C et al. (1995)"
1801-72-5, ,C7H12N2O1,Diallyl urea,0.64,1.07,0.43,"Hansch,C et al. (1995)"
1805-02-3,N,C9H11N3O1,2-Amino-1-methyl-5-methoxybenzimidazole,0.87,1.51,0.64,"Hansch,C et al. (1995)"
1805-32-9,N,C7H6CL2O1,"3,4-Dichlorobenzyl alcohol",2.74,2.36,-0.38,Chem Inspect Test Inst (1992)
1809-20-7,N,C6H15O3P1,"Phosphonic acid,bis(1-methylethyl) ester",0.45,0.68,0.23,Pomona (1987)
1812-30-2,T,C14H10Br1N3O1,Bromazepam,2.05,1.93,-0.12,Sangster (1994)
1817-47-6,N,C9H11N1O2,"Benzene, 1-(1-methylethyl)-4-nitro-",3.45,3.27,-0.18,"Hansch,C et al. (1995)"
1820-81-1,T,C4H3CL1N2O2,5-Chlorouracil,-0.35,-0.37,-0.02,"Hansch,C et al. (1995)"
1821-12-1, ,C10H12O2,4-Phenylbutyric acid,2.42,2.78,0.36,"Hansch,C et al. (1995)"
1821-33-6,N,C14H12N2O2,"Benzamide, N-[(phenylamino)carbonyl]-",3.39,2.55,-0.84,"Sotomatsu,T et al. (1987)"
1824-46-0,T,C8H11N3O4S2,6-Methylhydrothiazide,-0.22,-0.19,0.03,"Hansch,C et al. (1995)"
1824-47-1,T,C8H9CL2N3O4S2,3-Chloromethylhydrochlorothiazide,0.11,0.05,-0.06,"Hansch,C et al. (1995)"
1824-50-6,N,C14H14CL1N3O4S2,3-Benzylhydrochlorothiazide,0.93,1.5,0.57,"Hansch,C et al. (1995)"
1824-58-4,T,C9H12CL1N3O4S2,3-Ethylhydrochlorothiazide,0.3,0.29,-0.01,"Hansch,C et al. (1995)"
1825-21-4,N,C7H3CL5O1,Pentachloroanisole,5.45,5.3,-0.15,"Opperhuizen,A & Voors,PI (1987)"
1825-30-5, ,C10H6CL2,"1,5-Dichloronaphthalene",4.67,4.46,-0.21,"Opperhuizen,A (1987)"
1825-31-6, ,C10H6CL2,"1,4-Dichloronaphthalene",4.66,4.46,-0.2,"Opperhuizen,A (1987)"
1826-11-5,N,C9H7N1S1,"Thiazole, 2-phenyl-",2.77,2.76,-0.01,Sangster (1993)
1828-76-8,N,C9H8O3,"1(3H)-Isobenzofuranone,3-OH-3Me-",0.81,1.53,0.72,Pomona (1987)
1829-37-4, ,C8H7Br1O2,2-Bromophenyl acetate,2.2,2.48,0.28,"Hansch,C et al. (1995)"
1832-68-4, ,C17H37O3P1,O=P(Me)(O-octyl)O-octyl,6.13,6.29,0.16,"Krikorian,SE et al. (1987)"
1836-75-5, ,C12H7CL2N1O3,Nitrofen,4.64,4.32,-0.32,Sangster (1994)
1836-77-7, ,C12H6CL3N1O3,Chlornitrofen,4.97,4.96,-0.01,"Kawamoto,K & Urano,K (1989)"
1841-19-6,N,C29H31F2N3O1,Fluspirilene,5.86,5.59,-0.27,"Hansch,C et al. (1995)"
1848-75-5,N,C9H11N3,"2-Imidazolidinimine, N-phenyl-",1.01,0.6,-0.41,"Hansch,C et al. (1995)"
1861-32-1,N,C10H6CL4O4,DCPA,4.28,4.24,-0.04,"Tomlin,C (1997)"
1861-40-1,N,C13H16F3N3O4,Benfluralin,5.29,5.31,0.02,"Tomlin,C (1994)"
1864-94-4, ,C7H6O2,Phenyl formate,1.26,1.04,-0.22,"Hansch,C et al. (1995)"
1867-66-9, ,C13H16CL1N1O1,Ketamine,2.18,3.12,0.94,"Hansch,C et al. (1995)"
1871-96-1,N,C10H16N2,Decanedinitrile,1.75,2.31,0.56,"Tanii,H & Hashimoto,K (1985)"
1874-12-0, ,C9H9N1O5,1-(5-NO2-2-furyl)-2-(COO-Et)ethylene,2.1,2.04,-0.06,"Balaz,S et al. (1987)"
1874-22-2,N,C7H5N1O4,"2-Propenal, 3-(5-nitro-2-furanyl)-",0.96,1.01,0.05,"Debnath,AK et al. (1991)"
1874-24-4, ,C8H7N1O5,1-(5-NO2-2-furyl)-2-(COO-Me)ethylene,1.65,1.54,-0.11,"Balaz,S et al. (1987)"
1877-71-0, ,C9H8O4,"Isophthalic acid, methyl ester",1.83,1.71,-0.12,"Hansch,C et al. (1995)"
1877-72-1, ,C8H5N1O2,m-Cyanobenzoic acid,1.48,1.42,-0.06,"Hansch,C et al. (1995)"
1877-73-2,T,C8H7N1O4,m-Nitrophenylacetic acid,1.45,1.25,-0.2,"Hansch,C et al. (1995)"
1877-75-4, ,C9H10O4,p-Methoxyphenoxyacetic acid,1.23,1.41,0.18,"Hansch,C et al. (1995)"
1877-77-6, ,C7H9N1O1,m-Aminobenzyl alcohol,-0.05,0.16,0.21,"Hansch,C et al. (1995)"
1878-49-5,T,C9H10O3,o-Methylphenoxyacetic acid,1.98,1.88,-0.1,"Hansch,C et al. (1995)"
1878-51-9, ,C10H12O3,m-Ethylphenoxyacetic acid,2.25,2.37,0.12,"Hansch,C et al. (1995)"
1878-52-0, ,C11H14O3,m-i-Propylphenoxyacetic acid,2.59,2.78,0.19,"Hansch,C et al. (1995)"
1878-53-1,T,C12H16O3,m-Butylphenoxyacetic acid,3.18,3.35,0.17,"Hansch,C et al. (1995)"
1878-55-3, ,C12H16O3,m-t-Butylphenoxyacetic acid,2.96,3.24,0.28,"Hansch,C et al. (1995)"
1878-56-4, ,C14H18O3,"Phenoxyacetic acid,4-cyclohexyl",3.79,4.15,0.36,"Hansch,C et al. (1995)"
1878-57-5, ,C14H12O3,m-Phenylphenoxyacetic acid,3.18,3.09,-0.09,"Hansch,C et al. (1995)"
1878-58-6, ,C11H12O3,5-Indanoxyacetic acid,2.33,2.8,0.47,"Hansch,C et al. (1995)"
1878-59-7, ,C12H14O3,2(5678-Tetrahydronaphthyloxy)acetic acid,2.67,3.29,0.62,"Hansch,C et al. (1995)"
1878-61-1, ,C9H8O5,"Phenoxyacetic acid, m-carboxy",1.11,1.21,0.1,"Hansch,C et al. (1995)"
1878-62-2, ,C10H10O4,o-Acetylphenoxyacetic acid,1.25,1.01,-0.24,"Hansch,C et al. (1995)"
1878-65-5,T,C8H7CL1O2,m-Chlorophenylacetic acid,2.09,2.07,-0.02,"Hansch,C et al. (1995)"
1878-66-6, ,C8H7CL1O2,p-Chlorophenylacetic acid,2.12,2.07,-0.05,"Hansch,C et al. (1995)"
1878-67-7,T,C8H7Br1O2,m-Bromophenylacetic acid,2.37,2.32,-0.05,"Hansch,C et al. (1995)"
1878-68-8, ,C8H7Br1O2,p-Bromophenylacetic acid,2.31,2.32,0.01,"Hansch,C et al. (1995)"
1878-69-9,T,C8H7I1O2,m-Iodophenylacetic acid,2.62,2.6,-0.02,"Hansch,C et al. (1995)"
1878-71-3, ,C9H7N1O2,m-Cyanophenylacetic acid,1.18,0.98,-0.2,"Hansch,C et al. (1995)"
1878-76-8, ,C9H10O3S1,"Phenoxyacetic acid, m-methylthio-",1.9,1.93,0.03,"Hansch,C et al. (1995)"
1878-80-4, ,C10H10O4,m-Acetylphenoxyacetic acid,0.98,1.01,0.03,"Hansch,C et al. (1995)"
1878-81-5, ,C10H10O4,p-Acetylphenoxyacetic acid,0.87,1.01,0.14,"Hansch,C et al. (1995)"
1878-82-6,T,C9H7N1O3,p-Cyanophenoxyacetic acid,0.93,0.88,-0.05,"Hansch,C et al. (1995)"
1878-83-7, ,C8H8O4,m-Hydroxyphenoxyacetic acid,0.76,0.85,0.09,"Hansch,C et al. (1995)"
1878-84-8, ,C8H8O4,p-Hydroxyphenoxyacetic acid,0.65,0.85,0.2,"Hansch,C et al. (1995)"
1878-85-9,T,C9H10O4,o-Methoxy phenoxyacetic acid,0.98,0.89,-0.09,"Hansch,C et al. (1995)"
1878-87-1,T,C8H7N1O5,o-Nitrophenoxyacetic acid,1.13,1.15,0.02,Sangster (1994)
1878-88-2,T,C8H7N1O5,m-Nitrophenoxyacetic acid,1.37,1.15,-0.22,"Hansch,C et al. (1995)"
1878-89-3,T,C15H13N1O4,"Phenoxyacetic acid, m-benzamido",1.99,2.04,0.05,"Hansch,C et al. (1995)"
1878-91-7,T,C8H7Br1O3,p-Bromophenoxyacetic acid,2.45,2.22,-0.23,"Hansch,C et al. (1995)"
1878-92-8,T,C8H7I1O3,o-Iodophenoxyacetic acid,2.33,2.5,0.17,"Hansch,C et al. (1995)"
1878-93-9,T,C8H7I1O3,m-Iodophenoxyacetic acid,2.44,2.5,0.06,"Hansch,C et al. (1995)"
1878-94-0,T,C8H7I1O3,p-Iodophenoxyacetic acid,2.69,2.5,-0.19,"Hansch,C et al. (1995)"
1879-56-7,T,C8H7Br1O3,o-Bromophenoxyacetic acid,2.04,2.22,0.18,"Hansch,C et al. (1995)"
1879-58-9,T,C9H7N1O3,m-Cyanophenoxyacetic acid,0.95,0.88,-0.07,"Hansch,C et al. (1995)"
1879-77-2,N,C22H29F1O4,Doxibetasol,2.35,2.06,-0.29,BioByte (1995)
1882-26-4,T,C11H15N3O4,Pyridinol carbamate,0.24,0.15,-0.09,"Hansch,C et al. (1995)"
1883-15-4,N,C8H12N1O6P1,"3,4-Pyridinedimethanol,6Me-5-phosphonoox",-0.64,-0.99,-0.35,Sangster (1994)
1885-29-6,N,C7H6N2,"Benzonitrile, 2-amino-",1.4,1.17,-0.23,"Hansch,C et al. (1995)"
1885-38-7, ,C9H7N1,3-Phenyl-2-propenenitrile,1.96,1.84,-0.12,"Hansch,C et al. (1995)"
1885-87-6, ,C12H16N2,N-Benzalaminopiperidine,3.04,2.98,-0.06,"Hansch,C et al. (1995)"
1891-90-3,T,C8H6F3N1O1,p-Trifluoromethylbenzamide,1.71,1.7,-0.01,"Hansch,C et al. (1995)"
1893-33-0, ,C21H30F1N3O2,Pipamperone,2.02,2.28,0.26,"Hansch,C et al. (1995)"
1897-45-6, ,C8CL4N2,Chlorothanonil,3.05,3.66,0.61,"Krawchuk,BP & Webster,GRB (1987)"
1899-48-5,T,C8H8N4,"2,4-Diaminoquinazoline",1.0,1.15,0.15,"Hansch,C et al. (1995)"
1899-94-1,T,C7H9N1O2S1,m-Methylbenzenesulfonamide,0.85,0.92,0.07,"Hansch,C et al. (1995)"
1904-58-1,T,C7H9N3O1,"Benzoylhydrazine, o-amino",-0.18,0.27,0.45,"Hansch,C et al. (1995)"
1912-24-9,T,C8H14CL1N5,Atrazine,2.61,2.82,0.21,"Hansch,C et al. (1995)"
1912-25-0, ,C10H18CL1N5,Ipazine,3.94,3.86,-0.08,"Hansch,C et al. (1995)"
1912-26-1,T,C9H16CL1N5,Trietazine,3.34,3.44,0.1,"Hansch,C et al. (1995)"
1918-00-9,T,C8H6CL2O3,Dicamba,2.21,2.14,-0.07,"Hansch,C et al. (1995)"
1918-16-7,T,C11H14CL1N1O1,Propachlor,2.18,2.42,0.24,"Hansch,C et al. (1995)"
1918-18-9,N,C8H7CL2N1O2,"3,4-Dichlorocarbanilic acid,Me ester",3.32,3.04,-0.28,Sangster (1993)
1929-29-9, ,C10H12O3,"Benzenepropanoic acid, 4-methoxy-",1.9,2.37,0.47,BioByte (1995)
1929-77-7,N,C10H21N1O1S1,Vernolate,3.84,3.51,-0.33,"Tomlin,C (1994)"
1929-82-4, ,C6H3CL4N1,Nitrapyrin,3.41,3.35,-0.06,"Hansch,C et al. (1995)"
