CAS,Name,Mol Wt,Melt Pt (deg C),Reference
95-33-0,N-Cyclohexyl-2-benzothiazolesulfenamide,264.4139,98,
95-43-2,D-Threose,120.106,129,
95-45-4,DIMETHYL GLYOXIME,116.1206,245.5,
95-46-5,O-BROMOTOLUENE,171.0378,-27.8,
95-47-6,O-XYLENE,106.1689,-25.2,
95-48-7,O-CRESOL,108.1412,29.8,
95-49-8,2-CHLOROTOLUENE,126.5868,-35.6,
95-50-1,"1,2-DICHLOROBENZENE",147.0048,-16.7,Merck Index
95-51-2,2-CHLOROANILINE,127.5744,-14,
95-52-3,O-FLUOROTOLUENE,110.1322,-62,
95-53-4,O-TOLUIDINE,107.1565,-16.3,
95-54-5,"1,2-BENZENEDIAMINE",108.1441,102.5,
95-55-6,O-AMINOPHENOL,109.1288,174,
95-56-7,O-BROMOPHENOL,173.0102,5.6,
95-57-8,2-CHLOROPHENOL,128.5591,9.8,
95-59-0,"1,4-Dioxane, 2,3-dichloro-",156.9972,30,
95-63-6,"1,2,4-TRIMETHYLBENZENE",120.196,-43.8,
95-64-7,"3,4-XYLIDINE",121.1836,51,
95-65-8,"3,4-DIMETHYLPHENOL",122.1683,60.8,
95-66-9,"BENZENE, 1-CHLORO-2,4-DIMETHYL-",140.6139,-32.5,
95-68-1,"2,4-DIMETHYLANILINE",121.1836,-14.3,
95-69-2,2-METHYL-4-CHLOROANILINE,141.6015,30.3,
95-70-5,"2,5-DIAMINOTOLUENE",122.1712,64,
95-71-6,"1,4-BENZENEDIOL, 2-METHYL-",124.1406,128,
95-72-7,"Benzene, 2-chloro-1,4-dimethyl-",140.6139,1.6,
95-73-8,"2,4-DICHLOROTOLUENE",161.0319,-13.5,
95-74-9,3-CHLORO-P-TOLUIDINE,141.6015,26,
95-75-0,"3,4-DICHLOROTOLUENE",161.0319,-15.2,
95-76-1,"3,4-DICHLOROANILINE",162.0195,72,
95-77-2,"3,4-DICHLOROPHENOL",163.0042,68,
95-78-3,"2,5-DIMETHYLANILINE",121.1836,15.5,
95-79-4,5-CHLORO-O-TOLUIDINE,141.6015,26,
95-80-7,"2,4-TOLUENEDIAMINE",122.1712,99,
95-81-8,2-CHLOR-5-METHYL-ANILINE,141.6015,29.5,
95-82-9,"2,5-DICHLOROANILINE",162.0195,50,
95-83-0,"4-CHLORO-1,2-BENZENEDIAMINE",142.5891,76,
95-84-1,"PHENOL, 2-AMINO-4-METHYL-",123.1559,136,
95-85-2,"PHENOL, 2-AMINO-4-CHLORO-",143.5738,140,
95-86-3,"2,4-Diaminophenol",124.1435,79 dec,
95-87-4,"2,5-DIMETHYLPHENOL",122.1683,74.8,
95-88-5,4-CHLORORESORCINOL,144.5586,107,
95-92-1,ETHYL OXALATE,146.1442,-40.6,
95-93-2,"1,2,4,5-TETRAMETHYLBENZENE",134.2231,79.3,
95-94-3,"1,2,4,5-TETRACHLOROBENZENE",215.8948,139.5,
95-95-4,"2,4,5-TRICHLOROPHENOL",197.4492,69,
95-96-5,Dilactide,144.1283,117.5,Aldrich (2000)
95-99-8,"Glycine, N,N'-(1,2-dithioxo-1,2-ethanediyl)bis-",236.2697,220.5,"Lide, DR et al. (1994)"
96-00-4,Sebacoin,170.2538,42,
96-01-5,Sebacil,168.2378,40.5,
96-02-6,"2,5-Furandione, 3-chloro-",132.5038,33,
96-09-3,STYRENE OXIDE,120.1524,-35.6,
96-10-6,DIETHYLALUMINIUM CHLORIDE,120.5588,-85,
96-11-7,"Propane, 1,2,3-tribromo-",280.7853,16.9,
96-12-8,"1,2-DIBROMO-3-CHLOROPROPANE",236.3343,6,
96-14-0,3-METHYLPENTANE,86.1785,-162.9,
96-17-3,2-METHYLBUTANAL,86.1349,91,
96-18-4,"1,2,3-TRICHLOROPROPANE",147.4323,-14.7,
96-20-8,2-Amino-1-butanol,89.1384,-2,
96-22-0,3-PENTANONE,86.1349,-39,CRC Handbook
96-23-1,"1,3-DICHLORO-2-PROPANOL",128.9867,-4,
96-26-4,DIHYDROXY ACETONE,90.0795,90,Merck Index
96-27-5,Thioglycerol,108.16,< 25,
96-29-7,2-BUTANONE OXIME,87.1224,-29.5,
96-31-1,"DIMETHYLUREA, SYM",88.11,108,
96-33-3,METHYL ACRYLATE,86.0912,-76.5,
96-34-4,METHYL CHLOROACETATE,108.5251,-32.1,
96-37-7,METHYLCYCLOPENTANE,84.1625,-142.5,
96-41-3,CYCLOPENTANOL,86.1349,-19,
96-43-5,2-CHLOROTHIOPHENE,118.5855,-71.9,
96-45-7,ETHYLENETHIOUREA,102.1587,203,
96-48-0,GAMMA-BUTYROLACTONE,86.0912,-43.3,CRC Handbook
96-49-1,"1,3-DIOXOLAN-2-ONE",88.0635,39.5,
96-50-4,2-AMINOTHIAZOLE,100.1427,93,
96-53-7,2-Mercaptothiazoline,119.208,106,Aldrich (2000)
96-62-8,Dinsed,430.4177,190,
96-64-0,SOMAN,182.1766,-42,
96-66-2,"Phenol, 4,4'-thiobis(2-(1,1-dimethylethyl)-6-met",358.5472,125.5,Aldrich (2000)
96-69-5,"4,4'-Thiobis(6-tert-butyl-3-cresol)",358.5472,162,CHEM INSPECT TESTING INST (1992)
96-76-4,"2,4-DI-T-BUTYLPHENOL",206.3308,56.5,
96-77-5,"1,3-Benzenedisulfonic acid, 4-hydroxy-",254.2385,>100 dec,
96-80-0,2-(BIS(1-METHYLETHYL)AMINO)ETHANOL,145.2467,-39,
96-83-3,Iopanoic acid,570.937,155.2,
96-84-4,Iophenoxic Acid,571.9217,147,Aldrich (1998)
96-88-8,"2-PIPERIDINECARBOXAMIDE, N-(2,6-DIMETHYLPHENYL)-",246.3554,150.5,
96-91-3,"2-AMINO-4,6-DINITROPHENOL",199.1239,169,
96-96-8,"BENZENAMINE, 4-METHOXY-2-NITRO-",168.1534,124,
96-97-9,5-NITROSALICYLIC ACID,183.1216,229.5,
96-99-1,"Benzoic acid, 4-chloro-3-nitro-",201.5672,182.8,
97-00-7,"2,4-DINITROCHLOROBENZENE",202.5548,53,
97-02-9,"2,4-DINITROANILINE",183.1245,180,
97-05-2,"Benzoic acid, 2-hydroxy-5-sulfo-",218.1863,120,
97-11-0,Cyclethrin,328.4555,< 25,
97-16-5,GENITE,303.1658,45.5,
97-18-7,"Phenol, 2,2'-thiobis 4,6-dichloro-",356.0564,188,
97-23-4,"PHENOL,2,2'-METHYLENEBIS 4-CHLORO-",269.1295,177.5,
97-24-5,DI(2-HYDROXY-5-CHLORPHENYL)THIOETHER,287.1664,174,
97-25-6,Urochloralic Acid,325.5317,142,
97-30-3,".alpha.-D-Glucopyranoside, methyl",194.186,168,
97-36-9,"Butanamide, N-(2,4-dimethylphenyl)-3-oxo-",205.2589,89-91,Aldrich (1998)
97-39-2,"Guanidine, N,N'-bis(2-methylphenyl)-",239.3228,179,
97-51-8,5-Nitrosalicylaldehyde,167.1222,128-130,Aldrich (1998)
97-52-9,"Benzenamine, 2-methoxy-4-nitro-",168.1534,141,Aldrich (2000)
97-53-0,EUGENOL,164.2059,-9.1,Merck Index (2001)
97-54-1,2-METHOXY-4-(1-PROPENYL)PHENOL,164.2059,-10       ,
97-56-3,o-Aminoazotoluene,225.2958,102,
97-59-6,ALLANTOIN,158.1174,238,Merck Index (2001)
97-62-1,ETHYL ISOBUTYRATE,116.1613,-88.2,
97-65-4,"Butanedioic acid, methylene-",130.1012,175,
97-72-3,"Propanoic acid, 2-methyl-, anhydride",158.199,-53.5,
97-74-5,TETRAMETHYLTHIURAM,208.3679,109.5,
97-75-6,Scopolamine N-Oxide,319.3606,80,
97-77-8,DISULFIRAM,296.5403,71.5,CRC Handbook
97-85-8,ISOBUTYL ISOBUTYRATE,144.2155,-80.7,
97-87-0,"Isobutyric acid, butyl ester (6CI,7CI,8CI)",144.2155,<25,ChemFinder (2005)
97-88-1,"METHACRYLIC ACID, N-BUTYL ESTER",142.1996,-75,
97-90-5,ETHYLENE DIMETHYLACRYLATE,198.2207,< -75,
97-93-8,ALUMINUM TRIETHYL,114.168,-52.5,
97-94-9,TRIETHYLBORINE,97.9975,-93,CRC Handbook
97-95-0,2-ETHYL-1-BUTANOL,102.1779,<-15,
97-99-4,TETRAHYDROFURFURYL ALCOHOL,102.1343,<-80,
98-00-0,2-HYDROXYMETHYLFURAN,98.1024,-14.6,CRC (2000)
98-01-1,FUFURAL,96.0864,-38.1,CRC (2005)
98-04-4,PHENYL TRIMETHYL AMMONIUM IODIDE,263.123,224,
98-05-5,Phenylarsonic acid,202.0425,158 dec,
98-06-6,T-BUTYLBENZENE,134.2231,-57.8,
98-07-7,BENZOTRICHLORIDE,195.4769,-5,
98-08-8,BENZOTRIFLUORIDE,146.1131,-29.1,
98-09-9,BENZENESULFONYL CHLORIDE,176.6226,14.5,
98-10-2,BENZENESULFONAMIDE,157.1922,151,
98-11-3,BENZENESULFONIC ACID,158.1769,65,
98-14-6,"Arsonic acid, (4-hydroxyphenyl)- (9CI)",218.0419,172,"Lide, DR et al. (1994)"
98-15-7,"Benzene, 1-chloro-3-(trifluoromethyl)-",180.5581,-56,
98-16-8,3-TRIFLUOROMETHYLANILINE,161.1278,5.5,
98-17-9,M-TRIFLUOROMETHYLPHENOL,162.1125,-1.8,
98-19-1,"Benzene, 1-(1,1-dimethylethyl)-3,5-dimethyl-",162.2773,-18,
98-27-1,4-(T-BUTYL)-2-CRESOL,164.2496,27.5,
98-29-3,"1,2-Benzenediol, 4-(1,1-dimethylethyl)-",166.2219,54.3,
98-46-4,M-TRIFLUOROMETHYLNITROBENZENE,191.1106,-2.4,
98-49-7,p-Diisopropylbenzene monohydroperoxide,194.2761,33.5,
98-50-0,Arsanilic acid,217.0572,232,
98-51-1,P-(T-BUTYL)TOLUENE,148.2502,-52,
98-52-2,"Cyclohexanol, 4-(1,1-dimethylethyl)-",156.2703,62-70,Aldrich (1998)
98-53-3,"Cyclohexanone, 4-(1,1-dimethylethyl)-",154.2544,48.5,Aldrich (2000)
98-54-4,P-T-BUTYLYPHENOL,150.2225,98,
98-55-5,ALPHA-TERPINEOL,154.2544,37.5,
98-56-6,4-(TRIFLUOROMETHYL)CHLOROBENZENE,180.5581,-33,
98-58-8,"Benzenesulfonyl chloride, 4-bromo-",255.5186,76,
98-59-9,P-TOLUENESULFONYL CHLORIDE,190.6496,71,
98-60-2,"Benzenesulfonyl chloride, 4-chloro-",211.0676,51,
98-61-3,"Benzenesulfonyl chloride, 4-iodo-",302.519,85,
98-62-4,"Benzenesulfonyl fluoride, 4-amino-",175.1826,68.5,
98-64-6,4-CHLOROBENZENESULFONAMIDE,191.6372,145.75,
98-66-8,"Benzenesulfonic acid, 4-chloro-",192.622,67,
98-71-5,"Benzenesulfonic acid, 4-hydrazino-",188.2063,286,
98-72-6,Nitarsone,247.04,>310 dec,
98-73-7,"BENZOIC ACID, 4-(TERT-BUTYL)-",178.233,164.5,
98-79-3,"L-Proline, 5-oxo-",129.1164,184.7,
98-80-6,"BORONIC ACID, PHENYL-",121.9325,219,
98-81-7,alpha-Bromostyrene,183.049,-44,
98-82-8,CUMENE,120.196,-96.0,
98-83-9,ALPHA-METHYLSTYRENE,118.1801,-23.2,
98-84-0,"BENZENEMETHANAMINE, .alpha.-METHYL-",121.1836,< 25,
98-85-1,ALPHA-METHYLBENZYL ALCOHOL,122.1683,20,
98-86-2,ACETOPHENONE,120.1524,20,
98-87-3,(DICHLOROMETHYL)BENZENE,161.0319,-17,
98-88-4,BENZOYL CHLORIDE,140.5703,-1.0,
98-89-5,CYCLOHEXANECARBOXYLIC ACID,128.1725,31.5,
98-91-9,Benzenecarbothioic acid,138.1893,24,
98-92-0,NICOTINAMIDE,122.1275,130,CRC Handbook
98-94-2,"Cyclohexanamine, N,N-dimethyl-",127.2314,< 25,
98-95-3,NITROBENZENE,123.1123,5.7,
98-96-4,2-PYRAZINECARBOXAMIDE,123.1151,192,
98-97-5,Pyrazinoic acid,124.0998,225 dec,
98-98-6,PICOLINIC ACID,123.1123,136.5,
99-00-3,Picadex,162.2769,228,
99-03-6,M-AMINOACETOPHENONE,135.167,98.5,
99-04-7,M-TOLUIC ACID,136.1518,108.7,
99-05-8,3-AMINOBENZOIC ACID,137.1393,173,
99-06-9,M-HYDROXYBENZOIC ACID,138.1241,202,
99-07-0,"PHENOL, 3-(DIMETHYLAMINO)-",137.183,86,
99-08-1,3-NITROTOLUENE,137.1393,15.5,
99-09-2,3-NITROANILINE,138.1269,114,Merck Index
99-10-5,"3,5-DIHYDROXYBENZOIC ACID",154.1235,237 dec,
99-11-6,"4-Pyridinecarboxylic acid, 1,2-dihydro-6-hydroxy",155.1111,>300 dec,
99-12-7,"Benzene, 1,3-dimethyl-5-nitro-",151.1664,75,
99-14-9,"1,2,3-Propanetricarboxylic acid",176.1271,166,
99-17-2,POPULIN,390.3935,180,
99-20-7,Trehalose,342.3025,203,
99-23-0,Puberulic Acid,198.1334,317,
99-24-1,METHYL GALLATE,184.15,261.5,
99-28-5,"2,6-DIBROMO-4-NITROPHENOL",296.9037,145 dec,
99-30-9,"2,6-DICHLORO-4-NITROANILINE",207.017,191,
99-31-0,"1,3-Benzenedicarboxylic acid, 5-amino-",181.1493,360,
99-32-1,"4-OXO-4H-PYRAN-2,6-DICARBOXYLIC ACID",184.1063,262,
99-33-2,"Benzoyl chloride, 3,5-dinitro-",230.5654,74,
99-34-3,"3,5-DINITROBENZOIC ACID",212.1197,205,
99-35-4,"1,3,5-TRINITROBENZENE",213.1073,121.5,
99-45-6,ADRENALONE,181.1929,235.5 dec,
99-50-3,"3,4-DIHYDROXYBENZOIC ACID",154.1235,221 dec,
99-51-4,"1,2-DIMETHYL-4-NITROBENZENE",151.1664,30.5,
99-52-5,4-NITRO-2-TOLUIDINE,152.154,133.5,
99-53-6,2-METHYL-4-NITROPHENOL,153.1387,96,
99-54-7,"3,4-DICHLORONITROBENZENE",192.0023,43,CRC Handbook
99-55-8,5-NITRO-2-TOLUIDINE,152.154,105.5,
99-56-9,2-AMINO-4-NITROANILINE,153.1416,199.5,CRC Handbook
99-57-0,2-AMINO-4-NITROPHENOL,154.1263,144,
99-59-2,2-METHOXY-5-NITROANILINE,168.1534,118,
99-60-5,"BENZOIC ACID, 2-CHLORO-4-NITRO-",201.5672,140,
99-61-6,M-NITROBENZALDEHYDE,151.1228,58.5,
99-62-7,"1,3-DIISOPROPYLBENZENE",162.2773,-63.1,
99-63-8,"1,3-Benzenedicarbonyl dichloride",203.0259,43.5,
99-65-0,"1,3-DINITROBENZENE",168.1098,90,
99-71-8,P-(SEC-BUTYL)PHENOL,150.2225,61.5,
99-73-0,"Ethanone, 2-bromo-1-(4-bromophenyl)-",277.9444,111,
99-75-2,"BENZOIC ACID, 4-METHYL-, METHYL ESTER",150.1789,33.2,
99-76-3,4-HYDROXY METHYL BENZOATE,152.1512,131,
99-77-4,ETHYL-P-NITROBENZOATE,195.1764,57,
99-79-6,Iophendylate,416.3462,< 25,
99-80-9,"N,4-Dinitrosomethylaniline",165.1527,101,"Lewis, RJ (2000)"
99-82-1,P-MENTHANE,140.2709,-87.6,
99-83-2,alpha-PHELLANDRENE,136.239,< 25,
99-85-4,GAMMA-TERPINENE,136.239,-10,
99-86-5,alpha-Terpinene,136.239,< 25,
99-87-6,P-CYMENE,134.2231,-68.9,
99-89-8,P-ISOPROPYLPHENOL,136.1954,62.3,
99-90-1,P-BROMOACETOPHENONE,199.0484,50.5,
99-91-2,1-(4-CHLOROPHENYL)ETHANONE,154.5974,20,
99-92-3,4-AMINOACETOPHENONE,135.167,106,
99-93-4,P-HYDROXYACETOPHENONE,136.1518,109.5,
99-94-5,P-TOLUIC ACID,136.1518,179.6,
99-96-7,P-HYDROXYBENZOIC ACID,138.1241,214.5,
99-98-9,"N,N-DIMETHYL-P-PHENYLENEDIAMINE",136.1982,53,
99-99-0,P-NITROTOLUENE,137.1393,51.6,
100-00-5,P-CHLORONITROBENZENE,157.5573,83.5,Merck Index
100-01-6,4-NITROANILINE,138.1269,146,Merck Index
100-02-7,4-NITROPHENOL,139.1117,113.8,
100-03-8,"Benzenesulfinic acid, 4-chloro-",176.6226,99,"Lide, DR et al. (1994)"
100-06-1,P-METHOXYACETOPHENONE,150.1789,38.5,
100-07-2,"Benzoyl chloride, 4-methoxy-",170.5968,24.5,
100-09-4,P-METHOXYBENZOIC ACID,152.1512,185,
100-10-7,"P-FORMYL-N,N-DIMETHYLANILINE",149.1941,74.5,
100-11-8,4-Nitrobenzyl bromide,216.0354,99,Aldrich (2000)
100-12-9,4-ETHYLNITROBENZENE,151.1664,-12.3,
100-14-1,"Benzene, 1-(chloromethyl)-4-nitro-",171.5844,71,
100-15-2,P-NITRO-N-METHYLANILINE,152.154,152,
100-16-3,"HYDRAZINE, (4-NITROPHENYL)-",153.1416,158 dec,
100-17-4,P-NITROANISOLE,153.1387,54,
100-18-5,"1,4-DIISOPROPYLBENZENE",162.2773,-17,
100-19-6,P-NITROACETOPHENONE,165.1499,81.8,
100-20-9,"1,4-Benzenedicarbonyl dichloride",203.0259,83.5,
100-21-0,TEREPHTHALIC ACID,166.1346,>300,
100-22-1,"N,N,N',N'-TETRAMETHYL-P-PHENYLENEDIAMINE",164.2524,51,
100-23-2,"P-NITRO-N,N-DIMETHYLANILINE",166.1811,164,
100-25-4,P-DINITROBENZENE,168.1098,174,
100-26-5,"PYRIDINE-2,5-DICARBOXYLIC ACID",167.1222,254,
100-27-6,2-(P-NITROPHENYL)ETHANOL,167.1658,63,
100-28-7,"Benzene, 1-isocyanato-4-nitro-",164.1215,57,
100-29-8,P-NITROPHENETOLE,167.1658,60,
100-35-6,"N,N-Diethyl-2-chloroethylamine",135.6382,210-211,"Cohen,B ET AL (1948)"
100-39-0,ALPHA-BROMOTOLUENE,171.0378,-3,
100-40-3,4-VINYLCYCLOHEXENE,108.1848,-108.9,
100-41-4,ETHYLBENZENE,106.1689,-94.9,
100-42-5,STYRENE,104.153,-31,
100-43-6,4-VINYLPYRIDINE,105.1405,< 25,
100-44-7,ALPHA-CHLOROTOLUENE,126.5868,-45,
100-46-9,BENZYLAMINE,107.1565,10,
100-47-0,BENZONITRILE,103.1246,-12.7,
100-48-1,4-CYANOPYRIDINE,104.1122,79,
100-49-2,Cyclohexanemethanol,114.189,-43,
100-50-5,3-CYCLOHEXENE-1-CARBOXALDEHYDE,110.1572,2,
100-51-6,BENZYL ALCOHOL,108.1412,-15.2,
100-52-7,BENZALDEHYDE,106.1253,-26,
100-53-8,Benzenemethanethiol,124.2058,-30,CRC Handbook
100-54-9,3-CYANOPYRIDINE,104.1122,51,
100-55-0,3-PYRIDINEMETHANOL,109.1288,-6.5,
100-56-1,PHENYL MERCURIC CHLORIDE,313.1498,251,
100-57-2,PHENYLMERCURIC HYDROXIDE,294.7041,190 dec,
100-61-8,N-METHYLANILINE,107.1565,-57,
100-63-0,PHENYL HYDRAZINE,108.1441,19.6,
100-64-1,CYCLOHEXANONE OXIME,113.1607,90,
100-65-2,PHENYLHYDROXYLAMINE,109.1288,83.5,
100-66-3,ANISOLE,108.1412,-37.5,
100-70-9,2-CYANOPYRIDINE,104.1122,29,
100-71-0,2-ETHYLPYRIDINE,107.1565,-63.1,
100-74-3,4-ETHYLMORPHOLINE,115.1766,-64,
100-76-5,QUINUCLIDINE,111.1884,158,
100-80-1,M-METHYLSTYRENE,118.1801,-86.3,
100-83-4,3-HYDROXYBENZALDEHYDE,122.1247,108,
100-84-5,M-METHYLANISOLE,122.1683,-47,
100-86-7,"Benzeneethanol, .alpha.,.alpha.-dimethyl-",150.2225,24,
100-88-9,CYCLAMATE,179.2394,169.5,
100-91-4,Eucatropine,291.3937,113,
100-92-5,Mephentermine,163.2648,< 25,
100-95-8,Dodecarbonium Chloride,397.049,147.5,
100-97-0,HEXAMETHYLENETETRAMINE,140.1893,>250,
100-99-2,TRIISOBUTYLALUMINIUM,198.3305,0,
101-01-9,"Guanidine, N,N',N''-triphenyl-",287.3674,146.5,
101-02-0,"Phosphorous acid, triphenyl ester",310.2922,25,
101-05-3,ANILAZINE,275.526,160,
101-14-4,"4,4'-METHYLENEBIS(2-CHLOROANILINE)",267.16,110       ,
101-16-6,3-METHOXY-N-PHENYLBENZENAMINE,199.2547,73,
101-18-8,"Phenol, 3-(phenylamino)-",185.2276,81.5,
101-20-2,Triclocarban,315.5885,255.6,
101-21-3,CHLORPROPHAM,213.6656,41,
101-25-7,Dinitrosopentamethylenetetramine,186.1745,204-205,CHEM INSPECT TESTING INST (1992)
101-26-8,Pyridostigmine Bromide,261.1202,153,
101-27-9,BARBAN,258.1059,75,
101-31-5,Hyoscyamine,289.3778,108.5,
101-33-7,"Hexanal, 3-ethoxy-, diethyl acetal",218.3392,-100,NIST WebBook (2005)
101-37-1,"1,3,5-Triazine, 2,4,6-tris(2-propenyloxy)-",249.2717,27,NIST WebBook (2005)
101-38-2,Gibbs Reagent,210.4479,66,
101-42-8,FENURON,164.2088,133.5,
101-53-1,4-HYDROXYDIPHENYLMETHANE,184.24,84,
101-54-2,4-AMINODIPHENYLAMINE,184.2428,66,
101-55-3,4-BROMOPHENYL PHENYL ETHER,249.1089,18.72,
101-57-5,"Benzenesulfonic acid, 4-(phenylamino)-",249.2904,206,
101-59-7,"Aniline, p-((p-nitrophenyl)thio)- (6CI,7CI,8CI)",246.2897,144,Aldrich (2000)
101-60-0,"21H,23H-Porphine",310.3614,360,
101-61-1,BIS(4-DIMETHYLAMINOPHENYL)METHANE,254.3783,91.5,
101-62-2,Phenamidine,254.2939,215.5,
101-64-4,N-(p-Methoxyphenyl)-p-phenylenediamine,214.2693,102,
101-68-8,DIPHENYL METHANE DIISOCYANATE,250.2591,38,
101-71-3,Diphenane,227.2652,148.5,
101-72-4,4-(ISOPROPYLAMINO) DIPHENYLAMINE,226.3241,74,
101-73-5,4-Isopropoxydiphenylamine,227.3088,79,ChemFinder (2005)
101-75-7,"Benzenamine, N-phenyl-4-(phenylazo)-",273.3404,89-91,ALDRICH (2000)
101-76-8,"Benzene, 1,1'-methylenebis 4-chloro-",237.1307,55.5,
101-77-9,DI-(P-AMINOPHENYL)METHANE,198.2699,92.5,
101-80-4,"4,4'-DIAMINODIPHENYL ETHER",200.2422,189 dec,
101-81-5,"BENZENE, 1,1'-METHYLENEBIS-",168.2406,25.2,
101-82-6,2-BENZYLPYRIDINE,169.2282,12.5,
101-83-7,DICYCLOHEXYLAMINE,181.3238,-0.1,
101-84-8,DIPHENYL ETHER,170.2129,26.8,
101-86-0,Hexyl cinnamic aldehyde,216.3261,39.2,ChemFinder (2005)
101-90-6,"Oxirane, 2,2'- 1,3-phenylenebis(oxymethylene) bi",222.243,42.5,
101-91-7,"Butanamide, N-(4-hydroxyphenyl)-",179.2206,139.5,
101-92-8,p-Chloroacetoacetanilide,211.6497,131-134,Aldrich (1998)
101-96-2,"N,N'-DI-S-BUTYL-P-PHENYLENEDIAMINE",220.3608,18,
101-97-3,"BENZENEACETIC ACID, ETHYL ESTER",164.2059,-29.4,
101-99-5,N-PHENYL ETHYLCARBAMATE,165.1935,53,
102-01-2,ACETOACETANILIDE,177.2047,86,
102-02-3,Phenyl Biguanide,177.2104,143,
102-04-5,DIBENZYL KETONE,210.2782,35,
102-06-7,"N,N'-DIPHENYLGUANIDINE",211.2687,150,
102-07-8,"DIPHENYLUREA, SYM",212.2534,239,
102-08-9,THIOCARBANILIDE,228.318,154.5,
102-09-0,"CARBONIC ACID, DIPHENYL ESTER",214.2228,83,
102-14-7,4-OXO-4-(PHENYLAMINO)BUTANOIC ACID,193.2041,148.5,
102-20-5,"Benzeneacetic acid, 2-phenylethyl ester",240.3047,26.5,
102-24-9,"Boroxin, trimethoxy-",173.5346,10,Aldrich (1998)
102-25-0,"1,3,5-TRIETHYLBENZENE",162.2773,-66.5,
102-32-9,"3,4-DIHYDROXYPHENYLACETIC ACID",168.1506,128.5,
102-36-3,"1,2-DICHLORO-4-ISOCYANATOBENZENE",188.0141,43,
102-47-6,"Benzene, 1,2-dichloro-4-(chloromethyl)-",195.4769,37.5,
102-50-1,"BENZENAMINE, 4-METHOXY-2-METHYL-",137.183,29.5,
102-54-5,Ferrocene,186.0382,172.5,
102-56-7,"2,5-DIMETHOXYANILINE",153.1824,82.5,
102-60-3,Entprol,292.4221,< 25,
102-67-0,TRI-n-PROPYLALUMINIUM,156.2492,-84,
102-69-2,TRIPROPYLAMINE,143.2744,-93.5,
102-70-5,TRIALLYLAMINE,137.2266,94,
102-71-6,TRIETHANOLAMINE,149.1914,20.5,
102-76-1,TRIACETIN,218.2083,078,
102-77-2,"Morpholine, 4-(2-benzothiazolylthio)-",252.3591,85,
102-81-8,2-Dibutylaminoethanol,173.3009,-75,
102-82-9,TRI N-BUTYLAMINE,185.3557,-70,
102-85-2,"Phosphorous acid, tributyl ester",250.321,-80,ChemFinder (2005)
102-92-1,"2-Propenoyl chloride, 3-phenyl-",166.6085,36,
102-98-7,Phenylmercury Borate,338.5219,112.5,
103-01-5,N-PHENYLGLYCINE,151.1664,127.5,
103-02-6,"2-Propanone, phenylhydrazone",148.2094,42,
103-03-7,"HYDRAZINECARBOXAMIDE, 2-PHENYL-",151.1693,172,
103-04-8,S-PHENYLMERCAPTOACETIC ACID,168.2158,65,
103-05-9,"Benzenepropanol, .alpha.,.alpha.-dimethyl-",164.2496,24.5,
103-09-3,2-ETHYLHEXYLACETATE,172.2697,-80,
103-11-7,2-ETHYLHEXYL ACRYLATE,184.2808,-90,
103-12-8,Sulfamidochrysoidine,291.3337,249.5,
103-14-0,"Phenol, 4-((phenylmethyl)amino)-",199.2547,88,"Lide, DR ET AL (1994)"
103-16-2,P-(BENZYLOXY) PHENOL,200.2394,122,
103-17-3,CHLORBENSIDE,269.1947,75,
103-19-5,"Disulfide, bis(4-methylphenyl)",246.3957,47.5,
103-23-1,DI-2-ETHYLHEXYL ADIPATE,370.5776,-67.8,
103-24-2,"Nonanedioic acid, bis(2-ethylhexyl) ester",412.6589,-78,
103-26-4,"CINNAMIC ACID, METHYL ESTER",162.19,36,
103-29-7,BIBENZYL,182.2677,52.5,
103-30-0,STILBENE (TRANS),180.2517,123,
103-32-2,N-BENZYLANILINE,183.2553,37.5,
103-33-3,AZOBENZENE,182.2269,68,Merck Index
103-34-4,"Morpholine, 4,4'-dithiobis-",236.3569,124.5,
103-36-6,"CINNAMIC ACID, ETHYL ESTER",176.2171,7.0,
103-41-3,BENZYL CINNAMATE,238.2888,39        ,
103-43-5,DIBENZYL SUCCINATE,298.3418,49.5,
103-44-6,Vinyl 2-ethylhexyl ether,156.2703,-100,
103-45-7,B-PHENYLETHYL ACETATE,164.2059,-31.1,
103-46-8,S-BENZYLMERCAPTOACETIC ACID,182.2429,61,
103-47-9,CHES,207.2936,320,
103-49-1,DIBENZYL AMINE,197.2824,-26,
103-50-4,DIBENZYL ETHER,198.2671,3.6,
103-63-9,(2-BROMOETHYL)BENZENE,185.0649,-65.7,
103-64-0,BETA-BROMOSTYRENE,183.049,7,
103-65-1,N-PROPYLBENZENE,120.196,-99.5,
103-69-5,N-ETHYLANILINE,121.1836,-63.5,
103-70-8,FORMANILIDE,121.1399,46,
103-71-9,PHENYL ISOCYANATE,119.124,< 25,
103-72-0,PHENYLISOTHIOCYANATE,135.1886,-21,
103-73-1,ETHOXYBENZENE,122.1683,-29.5,
103-74-2,2-PYRIDINEETHANOL,123.1559,-7.8,
103-79-7,1-PHENYL-2-PROPANONE,134.1795,-15,
103-81-1,PHENYLACETAMIDE,135.167,157,
103-82-2,PHENYLACETIC ACID,136.1518,76.5,Merck Index
103-83-3,"N,N-DIMETHYLBENZYLAMINE",135.2107,<-10,
103-84-4,ACETANILIDE,135.167,114.3,
103-85-5,N-PHENYLTHIOUREA,152.2192,154,
